"COD_MUNICIPIO","MUNICIPIO","QTD_INTERNACOES","PERMANENCIA_MEDIA","TAXA_MORTALIDADE_PCT","VALOR_MEDIO_INTERNACAO","QTD_ESTAB_HOSPITALARES","POPULACAO","INTERNACOES_POR_MIL_HAB"
"353625","Parisi",19,8.05,5.26,6580.62,0,2892,6.57
"354925","São João de Iracema",10,1.3,0,1280.64,0,1846,5.42
"350600","Bauru",1716,6.58,6.06,1523.94,0,379146,4.53
"354910","São João da Boa Vista",509,5.66,11.79,1966.89,0,92547,5.5
"352400","Itupeva",250,3.36,3.6,1038.1,0,70616,3.54
"354260","Registro",257,4.8,5.06,1369.25,0,59947,4.29
"351080","Casa Branca",340,12.51,2.94,986.24,0,28083,12.11
"354750","Santa Rita do Passa Quatro",177,9.08,8.47,1547.5,0,24833,7.13
"350100","Altinópolis",193,4.33,6.74,1200.83,0,16818,11.48
"353500","Palestina",63,5.29,4.76,2315.67,0,11476,5.49
"352790","Lutécia",14,6.29,0,1320.75,0,2661,5.26
"351350","Cubatão",545,5.67,7.71,1708.81,0,112476,4.85
"352850","Mairiporã",408,5.04,7.35,1324.12,0,93853,4.35
"355670","Vinhedo",335,4.43,6.87,1264.42,0,76540,4.38
"354060","Porto Feliz",186,4.53,6.45,1314.93,0,56497,3.29
"354020","Pontal",222,4.48,4.95,1124,0,37607,5.9
"350860","Cachoeira Paulista",130,4.68,6.15,1173.98,0,31564,4.12
"355270","Tabatinga",129,3.49,1.55,957.01,0,14769,8.73
"354290","Ribeirão Bonito",58,4.66,5.17,1693.53,0,10989,5.28
"350075","Alambari",21,2.76,0,452.76,0,6141,3.42
"355550","Ubirajara",30,3.9,6.67,1099.78,0,5132,5.85
"355520","Turiúba",8,3.25,0,690.28,0,1818,4.4
"351580","Flora Rica",5,2.4,0,684.1,0,1487,3.36
"350610","Bebedouro",289,4.35,10.38,1735.41,0,76373,3.78
"351510","Embu-Guaçu",487,4.6,6.37,1468.1,0,66970,7.27
"353340","Nova Odessa",223,5.97,6.28,1602.13,0,62019,3.6
