COD_MUNICIPIO,MUNICIPIO,QTD_INTERNACOES,PERMANENCIA_MEDIA,TAXA_MORTALIDADE_PCT,VALOR_MEDIO_INTERNACAO,QTD_ESTAB_HOSPITALARES,POPULACAO,INTERNACOES_POR_MIL_HAB,internacoes_esperadas,razao_obs_esperado,cluster
353400,Onda Verde,34,3.09,0.0,1431.85,0,4771,7.13,21.2121491636869,1.6028550307483522,0
354750,Santa Rita do Passa Quatro,177,9.08,8.47,1547.5,1,24833,7.13,110.40899186372602,1.603130297743004,2
353740,Pereira Barreto,171,2.68,4.68,648.37,1,24095,7.1,107.12780006267782,1.596224321790909,0
353790,Pilar do Sul,196,3.85,6.63,770.48,1,27619,7.1,122.7957132156505,1.596146924573744,0
352380,Itobi,57,4.51,5.26,1497.05,0,8046,7.08,35.77299353825713,1.5933807703020946,0
351170,Charqueada,110,4.2,8.18,1126.7,1,15535,7.08,69.06953201799958,1.5925980209527684,0
352060,Indiana,36,3.92,13.89,2415.79,0,5090,7.07,22.630442096660307,1.5907775838507683,0
351680,Gastão Vidigal,23,4.43,4.35,916.77,0,3252,7.07,14.45858500949692,1.5907504077952836,0
355210,Socorro,281,3.83,7.12,1250.42,1,40122,7.0,178.38479328137618,1.5752463807649972,0
350580,Bastos,150,3.98,2.67,843.83,1,21503,6.98,95.60361422485,1.568978340580464,0
350130,Álvares Machado,189,5.87,4.23,1380.97,0,27255,6.93,121.17734761188146,1.5596974494387144,2
350150,Alvinlândia,20,5.35,15.0,697.19,0,2885,6.93,12.82688122767485,1.5592254769498193,1
351950,Ibirarema,44,7.84,4.55,4169.42,0,6385,6.89,28.388088956223193,1.5499458264996873,2
353150,Monte Azul Paulista,125,4.74,8.0,1547.07,2,18151,6.89,80.70042328025171,1.5489385918820686,0
355640,Vargem Grande do Sul,276,3.96,6.16,1052.4,1,40133,6.88,178.43369993423735,1.546793011083227,0
350060,Águas de São Pedro,19,2.05,0.0,784.91,0,2780,6.83,12.3600449958184,1.537211232356193,0
354240,Regente Feijó,137,5.64,5.11,1406.85,1,20145,6.8,89.56586562617325,1.5296005798883876,0
352550,Joanópolis,87,6.09,9.2,1365.86,0,12815,6.79,56.976250583242006,1.5269520038510336,0
352640,Laranjal Paulista,178,4.07,6.18,1266.27,1,26261,6.78,116.75796461697374,1.5245212657134928,0
351140,Cerqueira César,145,4.93,8.28,1453.42,1,21469,6.75,95.45244820691555,1.5190809950277915,0
350420,Auriflama,92,3.53,6.52,1472.2,1,13692,6.72,60.87544463408113,1.5112825960123466,0
353280,Nova Aliança,45,6.73,4.44,2909.91,0,6693,6.72,29.75747523633545,1.512225067570673,2
352090,Ipaussu,92,5.96,11.96,1909.96,1,13712,6.71,60.964365821101396,1.5090782748396334,1
352042,Ilha Comprida,90,4.31,10.0,1288.45,0,13419,6.71,59.66167043125435,1.5085062042254287,0
354030,Pontes Gestal,16,6.0,6.25,3105.73,0,2387,6.7,10.612743670869971,1.507621449853449,2
353890,Pirajuí,150,4.95,8.67,903.71,1,22431,6.69,99.72955730259083,1.5040676410994478,0
350520,Bariri,211,3.48,7.58,844.67,1,31595,6.68,140.4732451952814,1.5020653912186235,0
350930,Cajobi,61,4.11,13.11,1309.65,1,9133,6.68,40.60586005280915,1.5022462255612283,0
355050,São Pedro do Turvo,48,2.77,4.17,1565.24,0,7217,6.65,32.087210336266686,1.495923126285236,0
352620,Juquitiba,182,5.37,3.85,1680.51,0,27404,6.64,121.83981045518253,1.4937646350570017,0
354105,Pratânia,34,6.5,2.94,2218.56,0,5126,6.63,22.790500233296804,1.4918496589349177,2
351410,Dois Córregos,162,5.17,5.56,1044.68,1,24510,6.61,108.97291469334854,1.4866079379070523,0
352570,José Bonifácio,242,4.39,9.5,2046.45,1,36633,6.61,162.87249220568899,1.485824872713203,0
